trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
77246129672,11:49:30,11:49:30,30382,20,"Cottage Grove",0,60167
77246129673,12:25:30,12:25:30,30382,20,"Ashland/63rd",0,60167
77246129674,12:49:30,12:49:30,30382,20,"Ashland/63rd",0,60167
77246129675,13:25:30,13:25:30,30382,20,"Cottage Grove",0,60167
77246129676,13:49:30,13:49:30,30382,20,"Cottage Grove",0,60167
77246129677,16:17:30,16:17:30,30382,20,"Cottage Grove",0,60167
77246129678,15:37:30,15:37:30,30382,20,"Cottage Grove",0,60167
77246129679,15:57:30,15:57:30,30382,20,"Cottage Grove",0,60167
77246129680,16:47:30,16:47:30,30382,20,"Ashland/63rd",0,60167
77246129681,17:07:30,17:07:30,30382,20,"Ashland/63rd",0,60167
77246129658,04:37:30,04:37:30,30382,20,"Cottage Grove",0,60167
77246129659,05:07:30,05:07:30,30382,20,"Cottage Grove",0,60167
77246129660,06:07:30,06:07:30,30382,20,"Cottage Grove",0,60167
77246129661,06:27:30,06:27:30,30382,20,"Cottage Grove",0,60167
77246129662,06:47:30,06:47:30,30382,20,"Cottage Grove",0,60167
77246129663,07:27:30,07:27:30,30382,20,"Cottage Grove",0,60167
77246129664,07:47:30,07:47:30,30382,20,"Cottage Grove",0,60167
77246129665,08:37:30,08:37:30,30382,20,"Ashland/63rd",0,60167
77246129666,08:57:30,08:57:30,30382,20,"Ashland/63rd",0,60167
77246129667,09:37:30,09:37:30,30382,20,"Ashland/63rd",0,60167
77246129668,10:01:30,10:01:30,30382,20,"Ashland/63rd",0,60167
77246129669,10:25:30,10:25:30,30382,20,"Ashland/63rd",0,60167
77246129670,10:49:30,10:49:30,30382,20,"Ashland/63rd",0,60167
77246129671,11:25:30,11:25:30,30382,20,"Cottage Grove",0,60167
77246129697,04:52:30,04:52:30,30382,20,"Ashland/63rd",0,60167
77246129698,00:52:30,00:52:30,30382,20,"Cottage Grove",0,60167
77246129699,06:17:30,06:17:30,30382,20,"Ashland/63rd",0,60167
77246129700,01:22:30,01:22:30,30382,20,"Cottage Grove",0,60167
77246129701,05:22:30,05:22:30,30382,20,"Ashland/63rd",0,60167
77246129702,07:37:30,07:37:30,30382,20,"Ashland/63rd",0,60167
77246129703,07:17:30,07:17:30,30382,20,"Ashland/63rd",0,60167
77246129704,07:57:30,07:57:30,30382,20,"Ashland/63rd",0,60167
77246129705,06:37:30,06:37:30,30382,20,"Ashland/63rd",0,60167
77246129706,10:37:30,10:37:30,30382,20,"Cottage Grove",0,60167
77246129707,06:57:30,06:57:30,30382,20,"Ashland/63rd",0,60167
77246129708,09:07:30,09:07:30,30382,20,"Cottage Grove",0,60167
77246129709,09:27:30,09:27:30,30382,20,"Cottage Grove",0,60167
77246129710,09:49:30,09:49:30,30382,20,"Cottage Grove",0,60167
77246129711,10:13:30,10:13:30,30382,20,"Cottage Grove",0,60167
77246129712,11:13:30,11:13:30,30382,20,"Ashland/63rd",0,60167
77246129713,11:37:30,11:37:30,30382,20,"Ashland/63rd",0,60167
77246129714,12:01:30,12:01:30,30382,20,"Ashland/63rd",0,60167
77246129715,12:37:30,12:37:30,30382,20,"Cottage Grove",0,60167
77246129716,13:13:30,13:13:30,30382,20,"Ashland/63rd",0,60167
77246129717,14:47:30,14:47:30,30382,20,"Ashland/63rd",0,60167
77246129718,15:07:30,15:07:30,30382,20,"Ashland/63rd",0,60167
77246129719,13:37:30,13:37:30,30382,20,"Ashland/63rd",0,60167
77246129720,14:01:30,14:01:30,30382,20,"Ashland/63rd",0,60167
77246129682,17:47:30,17:47:30,30382,20,"Ashland/63rd",0,60167
77246129683,18:27:30,18:27:30,30382,20,"Ashland/63rd",0,60167
77246129684,18:49:30,18:49:30,30382,20,"Ashland/63rd",0,60167
