service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
107901,1,1,1,1,1,0,0,20231009,20231231
107902,1,1,1,1,0,0,0,20231009,20231231
107903,0,1,1,1,1,0,0,20231009,20231231
107904,0,1,1,1,1,0,0,20231009,20231231
107905,0,0,0,0,1,0,0,20231009,20231231
107906,0,0,0,0,0,1,0,20231009,20231231
107907,0,0,0,0,0,1,0,20231009,20231231
107908,0,0,0,0,0,0,1,20231009,20231231
107909,0,0,0,0,0,0,1,20231009,20231231
107910,0,0,1,1,1,1,0,20231009,20231231
107911,0,1,1,1,1,1,0,20231009,20231231
107912,0,1,1,1,1,1,0,20231009,20231231
107913,1,0,0,0,0,0,0,20231009,20231231
107914,1,0,0,0,0,0,0,20231009,20231231
107915,1,0,0,0,0,0,0,20231009,20231231
107916,0,1,0,0,0,0,0,20231009,20231231
107917,0,1,0,0,0,0,0,20231009,20231231
107918,1,0,1,1,1,0,0,20231009,20231231
107919,1,0,1,1,1,0,0,20231009,20231231
107920,0,0,1,0,0,0,0,20231009,20231231
107921,0,0,1,0,0,0,0,20231009,20231231
107922,1,1,0,1,1,0,0,20231009,20231231
107923,1,1,0,1,1,0,0,20231009,20231231
107924,0,0,0,1,0,0,0,20231009,20231231
107925,0,0,0,1,0,0,0,20231009,20231231
107926,1,1,1,0,1,0,0,20231009,20231231
107927,1,1,1,0,1,0,0,20231009,20231231
107928,0,1,1,0,0,0,0,20231009,20231231
107929,0,1,1,0,0,0,0,20231009,20231231
107930,1,0,0,1,1,0,0,20231009,20231231
107931,1,0,0,1,1,0,0,20231009,20231231
107932,1,1,0,0,1,0,0,20231009,20231231
107933,1,1,0,0,1,0,0,20231009,20231231
107934,1,1,1,1,1,0,1,20231009,20231231
107935,1,1,1,1,1,0,1,20231009,20231231
107936,1,1,1,1,1,1,0,20231009,20231231
107937,1,1,1,1,1,1,0,20231009,20231231
107938,1,1,1,1,1,1,0,20231009,20231231
107939,1,1,1,1,1,0,0,20231009,20231231
107940,1,1,1,1,0,0,1,20231009,20231231
107941,0,1,1,0,1,0,0,20231009,20231231
107942,0,1,1,0,1,0,0,20231009,20231231
207901,1,1,1,1,1,0,0,20231009,20231231
