service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
108101,1,1,1,1,1,0,0,20231113,20240131
108102,1,1,1,1,0,0,0,20231113,20240131
108103,0,1,1,1,1,0,0,20231113,20240131
108104,0,1,1,1,1,0,0,20231113,20240131
108105,0,0,0,0,1,0,0,20231113,20240131
108106,0,0,0,0,0,1,0,20231113,20240131
108107,0,0,0,0,0,1,0,20231113,20240131
108108,0,0,0,0,0,0,1,20231113,20240131
108109,0,0,0,0,0,0,1,20231113,20240131
108110,0,0,1,1,1,1,0,20231113,20240131
108111,0,1,1,1,1,1,0,20231113,20240131
108112,0,1,1,1,1,1,0,20231113,20240131
108113,1,0,0,0,0,0,0,20231113,20240131
108114,1,0,0,0,0,0,0,20231113,20240131
108115,1,0,0,0,0,0,0,20231113,20240131
108116,0,1,0,0,0,0,0,20231113,20240131
108117,0,1,0,0,0,0,0,20231113,20240131
108118,1,0,1,1,1,0,0,20231113,20240131
108119,1,0,1,1,1,0,0,20231113,20240131
108120,0,0,1,0,0,0,0,20231113,20240131
108121,0,0,1,0,0,0,0,20231113,20240131
108122,1,1,0,1,1,0,0,20231113,20240131
108123,1,1,0,1,1,0,0,20231113,20240131
108124,0,0,0,1,0,0,0,20231113,20240131
108125,0,0,0,1,0,0,0,20231113,20240131
108126,1,1,1,0,1,0,0,20231113,20240131
108127,1,1,1,0,1,0,0,20231113,20240131
108128,0,1,1,0,0,0,0,20231113,20240131
108129,0,1,1,0,0,0,0,20231113,20240131
108130,1,0,0,1,1,0,0,20231113,20240131
108131,1,0,0,1,1,0,0,20231113,20240131
108132,1,1,0,0,1,0,0,20231113,20240131
108133,1,1,0,0,1,0,0,20231113,20240131
108134,1,1,1,1,1,0,1,20231113,20240131
108135,1,1,1,1,1,0,1,20231113,20240131
108136,1,1,1,1,1,1,0,20231113,20240131
108137,1,1,1,1,1,1,0,20231113,20240131
108138,1,1,1,1,1,1,0,20231113,20240131
108139,1,1,1,1,1,0,0,20231113,20240131
108140,1,1,1,1,0,0,1,20231113,20240131
108141,0,1,1,0,1,0,0,20231113,20240131
108142,0,1,1,0,1,0,0,20231113,20240131
208101,1,1,1,1,1,0,0,20231113,20240131
