trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
75246129663,07:27:30,07:27:30,30382,20,"Cottage Grove",0,60167
75246129664,07:47:30,07:47:30,30382,20,"Cottage Grove",0,60167
75246129665,08:37:30,08:37:30,30382,20,"Ashland/63rd",0,60167
75246129666,08:57:30,08:57:30,30382,20,"Ashland/63rd",0,60167
75246129667,09:37:30,09:37:30,30382,20,"Ashland/63rd",0,60167
75246129668,10:01:30,10:01:30,30382,20,"Ashland/63rd",0,60167
75246129669,10:25:30,10:25:30,30382,20,"Ashland/63rd",0,60167
75246129670,10:49:30,10:49:30,30382,20,"Ashland/63rd",0,60167
75246129671,11:25:30,11:25:30,30382,20,"Cottage Grove",0,60167
75246129672,11:49:30,11:49:30,30382,20,"Cottage Grove",0,60167
75246129673,12:25:30,12:25:30,30382,20,"Ashland/63rd",0,60167
75246129674,12:49:30,12:49:30,30382,20,"Ashland/63rd",0,60167
75246129675,13:25:30,13:25:30,30382,20,"Cottage Grove",0,60167
75246129676,13:49:30,13:49:30,30382,20,"Cottage Grove",0,60167
75246129677,16:17:30,16:17:30,30382,20,"Cottage Grove",0,60167
75246129678,15:37:30,15:37:30,30382,20,"Cottage Grove",0,60167
75246129679,15:57:30,15:57:30,30382,20,"Cottage Grove",0,60167
75246129680,16:47:30,16:47:30,30382,20,"Ashland/63rd",0,60167
75246129681,17:07:30,17:07:30,30382,20,"Ashland/63rd",0,60167
75246129658,04:37:30,04:37:30,30382,20,"Cottage Grove",0,60167
75246129659,05:07:30,05:07:30,30382,20,"Cottage Grove",0,60167
75246129660,06:07:30,06:07:30,30382,20,"Cottage Grove",0,60167
75246129661,06:27:30,06:27:30,30382,20,"Cottage Grove",0,60167
75246129662,06:47:30,06:47:30,30382,20,"Cottage Grove",0,60167
75246129682,17:47:30,17:47:30,30382,20,"Ashland/63rd",0,60167
75246129683,18:27:30,18:27:30,30382,20,"Ashland/63rd",0,60167
75246129684,18:49:30,18:49:30,30382,20,"Ashland/63rd",0,60167
75246129685,19:13:30,19:13:30,30382,20,"Ashland/63rd",0,60167
75246129686,21:01:30,21:01:30,30382,20,"Cottage Grove",0,60167
75246129687,19:37:30,19:37:30,30382,20,"Ashland/63rd",0,60167
75246129688,20:13:30,20:13:30,30382,20,"Cottage Grove",0,60167
75246129689,20:37:30,20:37:30,30382,20,"Cottage Grove",0,60167
75246129690,22:22:30,22:22:30,30382,20,"Cottage Grove",0,60167
75246129691,21:25:30,21:25:30,30382,20,"Cottage Grove",0,60167
75246129692,21:52:30,21:52:30,30382,20,"Cottage Grove",0,60167
75246129693,23:52:30,23:52:30,30382,20,"Cottage Grove",0,60167
75246129694,22:52:30,22:52:30,30382,20,"Cottage Grove",0,60167
75246129695,23:22:30,23:22:30,30382,20,"Cottage Grove",0,60167
75246129696,24:22:30,24:22:30,30382,20,"Cottage Grove",0,60167
75246129697,04:52:30,04:52:30,30382,20,"Ashland/63rd",0,60167
75246129698,00:52:30,00:52:30,30382,20,"Cottage Grove",0,60167
75246129699,06:17:30,06:17:30,30382,20,"Ashland/63rd",0,60167
75246129700,01:22:30,01:22:30,30382,20,"Cottage Grove",0,60167
75246129701,05:22:30,05:22:30,30382,20,"Ashland/63rd",0,60167
75246129702,07:37:30,07:37:30,30382,20,"Ashland/63rd",0,60167
75246129703,07:17:30,07:17:30,30382,20,"Ashland/63rd",0,60167
75246129704,07:57:30,07:57:30,30382,20,"Ashland/63rd",0,60167
75246129705,06:37:30,06:37:30,30382,20,"Ashland/63rd",0,60167
75246129706,10:37:30,10:37:30,30382,20,"Cottage Grove",0,60167
75246129707,06:57:30,06:57:30,30382,20,"Ashland/63rd",0,60167
75246129708,09:07:30,09:07:30,30382,20,"Cottage Grove",0,60167
75246129709,09:27:30,09:27:30,30382,20,"Cottage Grove",0,60167
75246129710,09:49:30,09:49:30,30382,20,"Cottage Grove",0,60167
75246129711,10:13:30,10:13:30,30382,20,"Cottage Grove",0,60167
75246129712,11:13:30,11:13:30,30382,20,"Ashland/63rd",0,60167
75246129713,11:37:30,11:37:30,30382,20,"Ashland/63rd",0,60167
75246129714,12:01:30,12:01:30,30382,20,"Ashland/63rd",0,60167
75246129715,12:37:30,12:37:30,30382,20,"Cottage Grove",0,60167
75246129716,13:13:30,13:13:30,30382,20,"Ashland/63rd",0,60167
75246129717,14:47:30,14:47:30,30382,20,"Ashland/63rd",0,60167
75246129718,15:07:30,15:07:30,30382,20,"Ashland/63rd",0,60167
75246129719,13:37:30,13:37:30,30382,20,"Ashland/63rd",0,60167
75246129720,14:01:30,14:01:30,30382,20,"Ashland/63rd",0,60167
75246129736,22:07:30,22:07:30,30382,20,"Ashland/63rd",0,60167
75246129737,22:37:30,22:37:30,30382,20,"Ashland/63rd",0,60167
75246129738,00:37:30,00:37:30,30382,20,"Ashland/63rd",0,60167
75246129739,23:07:30,23:07:30,30382,20,"Ashland/63rd",0,60167
75246129740,23:37:30,23:37:30,30382,20,"Ashland/63rd",0,60167
75246129742,24:07:30,24:07:30,30382,20,"Ashland/63rd",0,60167
75246129743,01:37:30,01:37:30,30382,20,"Ashland/63rd",0,60167
75246129744,01:07:30,01:07:30,30382,20,"Ashland/63rd",0,60167
75246129748,22:09:00,22:09:00,30381,9,"Harlem/Lake",0,40530
75246129750,04:51:00,04:51:00,30381,9,"Harlem/Lake",0,40530
75246129751,05:21:00,05:21:00,30381,9,"Harlem/Lake",0,40530
75246129752,06:06:00,06:06:00,30381,9,"Harlem/Lake",0,31513
75246129753,07:01:00,07:01:00,30381,9,"Harlem/Lake",0,31513
75246129754,06:36:00,06:36:00,30381,9,"Harlem/Lake",0,31513
75246129755,07:51:00,07:51:00,30381,9,"Harlem/Lake",0,40530
75246129756,07:21:00,07:21:00,30381,9,"Harlem/Lake",0,31513
75246129757,07:41:00,07:41:00,30381,9,"Harlem/Lake",0,31513
75246129758,08:01:00,08:01:00,30381,9,"Harlem/Lake",0,31513
75246129759,09:01:00,09:01:00,30381,9,"Harlem/Lake",0,31513
75246129760,08:21:00,08:21:00,30381,9,"Harlem/Lake",0,31513
75246129721,16:07:30,16:07:30,30382,20,"Ashland/63rd",0,60167
75246129722,15:27:30,15:27:30,30382,20,"Ashland/63rd",0,60167
75246129723,15:47:30,15:47:30,30382,20,"Ashland/63rd",0,60167
75246129724,17:17:30,17:17:30,30382,20,"Cottage Grove",0,60167
75246129725,16:57:30,16:57:30,30382,20,"Cottage Grove",0,60167
75246129726,18:17:30,18:17:30,30382,20,"Cottage Grove",0,60167
75246129727,18:37:30,18:37:30,30382,20,"Cottage Grove",0,60167
75246129728,17:57:30,17:57:30,30382,20,"Cottage Grove",0,60167
75246129729,20:25:30,20:25:30,30382,20,"Ashland/63rd",0,60167
75246129730,19:01:30,19:01:30,30382,20,"Cottage Grove",0,60167
75246129731,20:01:30,20:01:30,30382,20,"Ashland/63rd",0,60167
75246129732,20:49:30,20:49:30,30382,20,"Ashland/63rd",0,60167
75246129733,21:13:30,21:13:30,30382,20,"Ashland/63rd",0,60167
75246129734,19:25:30,19:25:30,30382,20,"Cottage Grove",0,60167
75246129735,21:37:30,21:37:30,30382,20,"Ashland/63rd",0,60167
75246129791,05:06:00,05:06:00,30381,9,"Harlem/Lake",0,31513
75246129792,24:06:00,24:06:00,30381,9,"Harlem/Lake",0,40530
75246129793,01:06:00,01:06:00,30381,9,"Harlem/Lake",0,40530
75246129794,06:21:00,06:21:00,30381,9,"Harlem/Lake",0,40530
75246129795,04:36:00,04:36:00,30381,9,"Harlem/Lake",0,31513
75246129796,07:31:00,07:31:00,30381,9,"Harlem/Lake",0,40530
75246129797,05:51:00,05:51:00,30381,9,"Harlem/Lake",0,40530
75246129798,06:51:00,06:51:00,30381,9,"Harlem/Lake",0,40530
75246129799,07:11:00,07:11:00,30381,9,"Harlem/Lake",0,40530
75246129800,08:11:00,08:11:00,30381,9,"Harlem/Lake",0,40530
75246129761,12:33:00,12:33:00,30381,9,"Harlem/Lake",0,40530
