service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
65901,1,1,1,1,1,0,0,20230830,20231031
65902,1,1,1,1,0,0,0,20230830,20231031
65903,0,1,1,1,1,0,0,20230830,20231031
65904,0,1,1,1,1,0,0,20230830,20231031
65905,0,0,0,0,1,0,0,20230830,20231031
65906,0,0,0,0,0,1,0,20230830,20231031
65907,0,0,0,0,0,1,0,20230830,20231031
65908,0,0,0,0,0,0,1,20230830,20231031
65909,0,0,0,0,0,0,1,20230830,20231031
65910,0,0,1,1,1,1,0,20230830,20231031
65911,0,1,1,1,1,1,0,20230830,20231031
65912,0,1,1,1,1,1,0,20230830,20231031
65913,1,0,0,0,0,0,0,20230830,20231031
65914,1,0,0,0,0,0,0,20230830,20231031
65915,1,0,0,0,0,0,0,20230830,20231031
65916,0,1,0,0,0,0,0,20230830,20231031
65917,0,1,0,0,0,0,0,20230830,20231031
65918,1,0,1,1,1,0,0,20230830,20231031
65919,1,0,1,1,1,0,0,20230830,20231031
65920,0,0,1,0,0,0,0,20230830,20231031
65921,0,0,1,0,0,0,0,20230830,20231031
65922,1,1,0,1,1,0,0,20230830,20231031
65923,1,1,0,1,1,0,0,20230830,20231031
65924,0,0,0,1,0,0,0,20230830,20231031
65925,0,0,0,1,0,0,0,20230830,20231031
65926,1,1,1,0,1,0,0,20230830,20231031
65927,1,1,1,0,1,0,0,20230830,20231031
65928,0,1,1,0,0,0,0,20230830,20231031
65929,0,1,1,0,0,0,0,20230830,20231031
65930,1,0,0,1,1,0,0,20230830,20231031
65931,1,0,0,1,1,0,0,20230830,20231031
65932,1,1,0,0,1,0,0,20230830,20231031
65933,1,1,0,0,1,0,0,20230830,20231031
65934,1,1,1,1,1,0,1,20230830,20231031
65935,1,1,1,1,1,0,1,20230830,20231031
65936,1,1,1,1,1,1,0,20230830,20231031
65937,1,1,1,1,1,1,0,20230830,20231031
65938,1,1,1,1,1,1,0,20230830,20231031
65939,1,1,1,1,1,0,0,20230830,20231031
65940,1,1,1,1,0,0,1,20230830,20231031
65941,0,1,1,0,1,0,0,20230830,20231031
65942,0,1,1,0,1,0,0,20230830,20231031
107501,1,1,1,1,1,0,0,20230830,20231031
107502,1,1,1,1,0,0,0,20230830,20231031
107503,0,1,1,1,1,0,0,20230830,20231031
107504,0,1,1,1,1,0,0,20230830,20231031
107505,0,0,0,0,1,0,0,20230830,20231031
107506,0,0,0,0,0,1,0,20230830,20231031
107507,0,0,0,0,0,1,0,20230830,20231031
107508,0,0,0,0,0,0,1,20230830,20231031
107509,0,0,0,0,0,0,1,20230830,20231031
107510,0,0,1,1,1,1,0,20230830,20231031
107511,0,1,1,1,1,1,0,20230830,20231031
107512,0,1,1,1,1,1,0,20230830,20231031
107513,1,0,0,0,0,0,0,20230830,20231031
107514,1,0,0,0,0,0,0,20230830,20231031
107515,1,0,0,0,0,0,0,20230830,20231031
107516,0,1,0,0,0,0,0,20230830,20231031
107517,0,1,0,0,0,0,0,20230830,20231031
107518,1,0,1,1,1,0,0,20230830,20231031
107519,1,0,1,1,1,0,0,20230830,20231031
107520,0,0,1,0,0,0,0,20230830,20231031
107521,0,0,1,0,0,0,0,20230830,20231031
107522,1,1,0,1,1,0,0,20230830,20231031
107523,1,1,0,1,1,0,0,20230830,20231031
107524,0,0,0,1,0,0,0,20230830,20231031
107525,0,0,0,1,0,0,0,20230830,20231031
107526,1,1,1,0,1,0,0,20230830,20231031
107527,1,1,1,0,1,0,0,20230830,20231031
107528,0,1,1,0,0,0,0,20230830,20231031
107529,0,1,1,0,0,0,0,20230830,20231031
107530,1,0,0,1,1,0,0,20230830,20231031
107531,1,0,0,1,1,0,0,20230830,20231031
107532,1,1,0,0,1,0,0,20230830,20231031
107533,1,1,0,0,1,0,0,20230830,20231031
107534,1,1,1,1,1,0,1,20230830,20231031
107535,1,1,1,1,1,0,1,20230830,20231031
107536,1,1,1,1,1,1,0,20230830,20231031
107537,1,1,1,1,1,1,0,20230830,20231031
107538,1,1,1,1,1,1,0,20230830,20231031
107539,1,1,1,1,1,0,0,20230830,20231031
107540,1,1,1,1,0,0,1,20230830,20231031
107541,0,1,1,0,1,0,0,20230830,20231031
107542,0,1,1,0,1,0,0,20230830,20231031
207501,1,1,1,1,1,0,0,20230830,20231031
