service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
108001,1,1,1,1,1,0,0,20231106,20240131
108002,1,1,1,1,0,0,0,20231106,20240131
108003,0,1,1,1,1,0,0,20231106,20240131
108004,0,1,1,1,1,0,0,20231106,20240131
108005,0,0,0,0,1,0,0,20231106,20240131
108006,0,0,0,0,0,1,0,20231106,20240131
108007,0,0,0,0,0,1,0,20231106,20240131
108008,0,0,0,0,0,0,1,20231106,20240131
108009,0,0,0,0,0,0,1,20231106,20240131
108010,0,0,1,1,1,1,0,20231106,20240131
108011,0,1,1,1,1,1,0,20231106,20240131
108012,0,1,1,1,1,1,0,20231106,20240131
108013,1,0,0,0,0,0,0,20231106,20240131
108014,1,0,0,0,0,0,0,20231106,20240131
108015,1,0,0,0,0,0,0,20231106,20240131
108016,0,1,0,0,0,0,0,20231106,20240131
108017,0,1,0,0,0,0,0,20231106,20240131
108018,1,0,1,1,1,0,0,20231106,20240131
108019,1,0,1,1,1,0,0,20231106,20240131
108020,0,0,1,0,0,0,0,20231106,20240131
108021,0,0,1,0,0,0,0,20231106,20240131
108022,1,1,0,1,1,0,0,20231106,20240131
108023,1,1,0,1,1,0,0,20231106,20240131
108024,0,0,0,1,0,0,0,20231106,20240131
108025,0,0,0,1,0,0,0,20231106,20240131
108026,1,1,1,0,1,0,0,20231106,20240131
108027,1,1,1,0,1,0,0,20231106,20240131
108028,0,1,1,0,0,0,0,20231106,20240131
108029,0,1,1,0,0,0,0,20231106,20240131
108030,1,0,0,1,1,0,0,20231106,20240131
108031,1,0,0,1,1,0,0,20231106,20240131
108032,1,1,0,0,1,0,0,20231106,20240131
108033,1,1,0,0,1,0,0,20231106,20240131
108034,1,1,1,1,1,0,1,20231106,20240131
108035,1,1,1,1,1,0,1,20231106,20240131
108036,1,1,1,1,1,1,0,20231106,20240131
108037,1,1,1,1,1,1,0,20231106,20240131
108038,1,1,1,1,1,1,0,20231106,20240131
108039,1,1,1,1,1,0,0,20231106,20240131
108040,1,1,1,1,0,0,1,20231106,20240131
108041,0,1,1,0,1,0,0,20231106,20240131
108042,0,1,1,0,1,0,0,20231106,20240131
208001,1,1,1,1,1,0,0,20231106,20240131
